Player,Age,Pos,Squad,Nation,std_MP,std_Min,Gls,Ast,pass_Cmp%,pass_PrgDist,pass_KP,pass_1/3,pass_PPA,pass_PrgP,passt_TB,passt_Sw,passt_Crs,gca_PassLive,gca_PassDead,poss_Carries,poss_PrgDist,poss_PrgC,poss_1/3,poss_CPA,gca_TO,gca_Sh,gca_Fld,def_Tkl,def_TklW,def_Int,def_Tkl+Int,def_Blocks,def_Pass,def_Def 3rd,def_Mid 3rd,def_Att 3rd,misc_TklW,misc_Recov,misc_Won,misc_Lost,misc_Fls,misc_Fld,poss_Mis,poss_Dis,def_Lost,std_Gls,std_Ast,std_xG,std_xAG,std_PrgR,shoot_Sh,std_CrdY,std_CrdR,std_90s,pt_Min%,pt_Mn/MP,Cluster,Archetype,Primary_Archetype,Secondary_Archetype,Archetype_Score,Secondary_Archetype_Score,Anchor_Score,DLP_Score,BallWinner_Score,BoxToBox_Score,APM_Score,Mezzala_Score,ShadowStriker_Score,Overall_Rating
Luciano Valente,20.0,MF,Groningen,nl NED,32.0,2587.0,2,7,56,48,68,72,100,75,65,18,37,93,5,76,83,52,100,38,67,40,33,7,8,14,9,51,59,7,12,31,8,72,4,79,74,52,19,15,76,8,64,21,95,88,58,50,0,85,85,84,0,APM,APM,,86,0,29,46,16,52,86,55,26,75
Malik Tillman,22.0,MF,PSV Eindhoven,us USA,26.0,1915.0,12,2,64,29,68,32,71,64,100,29,28,100,5,50,69,48,49,42,58,33,22,47,50,61,54,64,69,34,54,62,50,74,21,89,49,67,41,33,82,50,18,44,100,72,66,75,100,56,56,70,0,APM,APM,,83,0,60,35,52,58,83,49,49,74
Marcus Linday,21.0,MF,Heerenveen,se SWE,15.0,1264.0,2,2,75,20,11,37,21,41,0,6,1,29,0,31,36,20,26,6,0,13,11,22,25,25,24,22,31,29,30,0,25,39,7,76,72,35,77,87,71,8,18,7,15,21,8,75,100,27,28,90,1,BallWinner/DLP,BallWinner,DLP,30,28,25,28,30,27,17,21,8,27
Mathias Kjølø,23.0,MF,Twente,no NOR,22.0,865.0,0,1,68,22,7,39,13,25,6,47,1,18,0,20,15,6,16,0,0,0,0,3,8,16,7,2,3,11,6,12,8,18,6,73,88,15,100,96,94,0,9,1,8,8,7,100,100,10,10,0,1,DLP,DLP,,39,0,9,39,15,12,10,9,2,30
Max Balard,23.0,MF,NAC Breda,au AUS,33.0,2937.0,1,1,80,56,16,61,23,73,24,41,0,41,5,52,54,24,32,2,0,0,33,57,45,100,75,87,67,61,60,19,45,75,15,52,56,54,75,77,44,4,9,1,19,6,6,25,100,100,100,100,2,Anchor,Anchor,,83,0,83,57,61,49,22,29,3,76
Mohammed Ihattaren,22.0,MF,RKC Waalwijk,nl NED,24.0,1542.0,4,4,14,35,64,38,88,54,12,82,100,84,45,47,66,59,54,70,83,13,11,9,8,11,10,13,18,14,10,25,8,30,0,90,100,30,62,48,100,17,36,26,77,59,60,88,100,39,40,50,0,APM,APM,,76,0,13,44,18,44,76,60,29,70
Nick Fichtinger,20.0,MF,Zwolle,nl NED,22.0,853.0,0,0,39,12,14,13,15,12,0,6,2,12,0,8,13,4,10,0,8,7,0,37,48,14,32,36,26,36,34,56,48,9,10,68,77,7,96,92,41,0,0,1,8,3,8,50,100,10,10,0,1,BallWinner,BallWinner,,42,0,26,15,42,14,12,5,3,30
Oscar Fraulo,20.0,MF,Utrecht,dk DEN,27.0,1711.0,3,3,47,19,39,20,25,30,12,12,13,50,14,28,32,20,28,8,17,20,22,19,16,43,28,27,31,20,24,31,16,38,21,60,39,48,66,63,44,13,27,13,50,37,20,62,100,47,47,48,1,APM,APM,,41,0,32,22,25,25,41,19,15,34
Paxten Aaronson,20.0,MF,Utrecht,us USA,33.0,2689.0,8,4,54,31,57,38,60,64,18,18,39,76,18,51,53,41,41,24,25,73,44,100,94,77,100,69,69,80,100,100,94,71,14,54,28,59,68,27,0,33,36,35,47,39,67,0,100,89,89,84,2,BallWinner,BallWinner,,91,0,80,33,91,66,57,41,45,85
Quinten Timber,23.0,MF,Feyenoord,nl NED,18.0,1391.0,6,0,72,17,36,30,33,33,47,6,2,49,0,29,37,19,38,12,42,13,22,24,27,16,23,22,33,16,36,38,27,17,6,98,60,50,71,67,91,25,0,21,26,27,40,38,100,33,33,76,1,APM/BallWinner,APM,BallWinner,34,30,20,25,30,25,34,20,25,31
Ringo Meerveld,23.0,MF,Willem II,nl NED,33.0,2900.0,4,2,91,41,52,69,75,70,29,71,26,85,5,72,93,56,68,24,100,20,67,11,8,23,15,42,51,18,14,12,8,59,3,92,84,100,47,23,68,17,18,15,37,45,35,75,100,98,98,98,0,DLP/APM,DLP,APM,62,57,29,62,20,49,57,51,20,61
Roberto González,23.0,MF,NEC Nijmegen,es ESP,17.0,985.0,2,1,1,0,7,7,13,3,6,6,31,10,14,11,15,16,16,6,33,73,33,1,3,0,0,9,18,9,0,25,3,8,5,87,79,48,88,83,88,8,9,19,10,19,29,88,100,15,15,38,1,ShadowStriker,ShadowStriker,,23,0,4,3,9,10,10,10,23,19
Ryan Fosso,22.0,MF,Fortuna Sittard,ch SUI,30.0,2551.0,1,1,91,45,30,51,31,45,35,100,8,49,0,58,45,13,29,6,58,27,33,25,20,89,47,44,36,21,36,25,20,61,11,67,63,57,62,62,53,4,9,10,45,7,24,25,100,83,83,92,2,DLP,DLP,,67,0,57,67,38,32,38,22,13,60
Sami Ouaissa,19.0,MF,NEC Nijmegen,nl NED,33.0,1846.0,7,1,19,6,36,10,23,15,18,12,32,44,32,25,32,24,38,26,42,27,56,10,2,25,15,18,18,11,14,31,2,28,11,56,54,63,33,48,71,29,9,25,42,53,35,62,100,53,53,34,1,APM,APM,,36,0,19,10,15,21,36,23,28,36
Sem Scheperman,22.0,MF,Heracles Almelo,nl NED,23.0,1639.0,1,1,82,24,7,38,0,27,0,29,1,18,5,28,26,10,12,2,0,13,22,63,55,59,66,67,62,57,66,50,55,39,35,49,39,26,88,88,32,4,9,7,5,6,10,13,0,44,44,64,2,Anchor/BallWinner,Anchor,BallWinner,60,60,60,37,60,29,7,13,7,59
Sem Steijn,22.0,MF,Twente,nl NED,33.0,2762.0,24,7,31,29,66,39,75,55,82,29,20,87,23,46,37,26,24,14,42,40,22,1,2,16,5,20,23,0,18,0,2,41,14,62,75,26,52,46,62,100,64,100,76,73,100,62,100,93,92,90,0,ShadowStriker,ShadowStriker,,94,0,16,31,14,38,74,30,94,84
Stije Resink,21.0,MF,Groningen,nl NED,26.0,2127.0,5,2,49,55,23,69,29,64,18,29,13,38,5,57,58,28,35,10,58,33,33,76,84,48,72,80,82,61,86,56,84,57,41,62,32,41,63,60,35,21,18,17,21,12,45,13,100,65,65,86,2,BallWinner,BallWinner,,74,0,66,50,74,53,26,32,25,71
Tika de Jonge,21.0,MF,Groningen,nl NED,21.0,1271.0,1,1,27,24,12,32,19,38,6,41,22,21,9,25,28,14,24,2,8,0,0,30,22,36,34,29,28,30,36,25,22,19,21,71,75,15,77,83,82,4,9,6,10,6,16,62,0,28,28,44,1,BallWinner/Anchor,BallWinner,Anchor,35,31,31,30,35,24,14,16,7,28
Yassin Oukili,23.0,MF,RKC Waalwijk,nl NED,32.0,2208.0,6,3,49,26,50,34,25,40,12,29,8,75,0,42,44,32,48,12,25,27,44,55,52,45,56,42,46,64,46,38,52,64,40,56,47,46,47,63,47,25,27,29,34,40,51,50,0,68,68,60,2,BallWinner/Anchor,BallWinner,Anchor,52,48,48,32,52,45,44,29,32,51
Youri Regeer,20.0,MF,Twente,nl NED,19.0,1342.0,0,0,70,30,29,56,44,53,6,6,19,59,5,38,36,20,20,6,8,7,22,16,9,34,22,22,23,14,18,44,9,22,18,71,60,43,77,90,79,0,0,4,31,37,15,75,100,31,31,64,1,APM/DLP,APM,DLP,37,35,25,35,21,27,37,23,5,27
Zico Buurmeester,22.0,MF,AZ Alkmaar,nl NED,27.0,1195.0,4,1,62,20,30,26,40,29,18,12,11,41,27,27,29,16,16,10,33,7,0,17,12,23,20,24,28,16,26,25,12,30,12,73,68,11,77,85,82,17,9,19,18,18,22,100,100,25,25,10,1,APM/DLP,APM,DLP,30,26,22,26,24,22,30,18,18,25
Zidane Iqbal,21.0,MF,Utrecht,iq IRQ,18.0,1449.0,1,0,100,44,25,52,40,58,6,18,5,46,5,45,47,11,32,0,17,13,0,11,12,34,18,0,0,14,22,0,12,42,0,95,86,43,82,90,79,4,0,3,16,3,17,62,100,36,36,84,1,DLP,DLP,,48,0,19,48,24,28,28,20,7,41
